Numéro de l'élément	Groupe	Nom scientifique	Nom commun (a completer)	Statut provincial
Mammifères	755	Synaptomys cooperi	campagnol-lemming de Cooper	Susceptible
Mammifères	791	Ursus americanus pop. 1	ours noir de l'île d'Anticosti	Candidate
Mammifères	792	Ursus maritimus	ours blanc	Vulnérable
Mollusques	30268	Acroloxus coloradensis pop. 2	patelle d’eau douce pointue, pop. de l’Est	Susceptible
Mollusques	1301	Alasmidonta marginata	alasmidonte rugueuse	Susceptible
Mollusques	1362	Birgella subglobosus	somatogyre globuleux	Susceptible
Mollusques	14086	Elliptio crassidens	elliptio à dents fortes	Susceptible
Mollusques	1306	Eurynia dilatata	elliptio pointu	Susceptible
Mollusques	1311	Lasmigona compressa	lasmigone des ruisseaux	Candidate
Mollusques	1313	Leptodea fragilis	leptodée fragile	Susceptible
Mollusques	1314	Ligumia recta	ligumie noire	Candidate
Mollusques	1315	Margaritifera margaritifera	mulette-perlière de l'Est	Susceptible
Mollusques	1316	Obovaria olivaria	obovarie olivâtre	Menacée
Mollusques	1317	Potamilus alatus	potamile ailé	Susceptible
Mollusques	30111	Utterbackia imbecillis	anodonte papyracée	Candidate
Mollusques	1303	Utterbackiana implicata	anodonte du gaspareau	Menacée
Oiseaux	30096	Ammodramus savannarum pratensis	bruant sauterelle pratensis	Menacée
Oiseaux	429	Ammospiza nelsoni	bruant de Nelson	Susceptible
Oiseaux	274	Antrostomus vociferus	engoulevent bois-pourri	Vulnérable
Oiseaux	129	Aquila chrysaetos	aigle royal	Vulnérable
Oiseaux	269	Asio flammeus	hibou des marais	Susceptible
Oiseaux	107	Bucephala islandica pop. 1	garrot d'Islande, pop. de l'Est	Vulnérable
Oiseaux	15295	Calidris canutus rufa	bécasseau maubèche rufa	Menacée
Oiseaux	196	Calidris subruficollis	bécasseau roussâtre	Candidate
Oiseaux	402	Cardellina canadensis	paruline du Canada	Susceptible
Oiseaux	341	Catharus bicknelli	grive de Bicknell	Vulnérable
Oiseaux	275	Chaetura pelagica	martinet ramoneur	Menacée
Oiseaux	14974	Charadrius melodus melodus	pluvier siffleur melodus	Menacée
Oiseaux	242	Chlidonias niger	guifette noire	Candidate
Oiseaux	272	Chordeiles minor	engoulevent d'Amérique	Susceptible
Oiseaux	327	Cistothorus stellaris	troglodyte à bec court	Susceptible
Oiseaux	287	Contopus cooperi	moucherolle à côtés olive	Vulnérable
Oiseaux	288	Contopus virens	pioui de l'Est	Candidate
Oiseaux	145	Coturnicops noveboracensis	râle jaune	Menacée
Oiseaux	441	Dolichonyx oryzivorus	goglu des prés	Vulnérable
Oiseaux	446	Euphagus carolinus	quiscale rouilleux	Susceptible
Oiseaux	15297	Falco peregrinus pop. 1	faucon pèlerin anatum/tundrius	Vulnérable
Oiseaux	118	Haliaeetus leucocephalus	pygargue à tête blanche	Vulnérable
Oiseaux	309	Hirundo rustica	hirondelle rustique	Candidate
Oiseaux	101	Histrionicus histrionicus pop. 1	arlequin plongeur, pop. de l'Est	Vulnérable
Oiseaux	30132	Hydrobates leucorhous pop. 1	océanite cul-blanc, pop. de l’Atlantique	Susceptible
Oiseaux	233	Hydroprogne caspia	sterne caspienne	Menacée
Oiseaux	342	Hylocichla mustelina	grive des bois	Candidate
Oiseaux	46	Ixobrychus exilis	petit blongios	Vulnérable
Oiseaux	30091	Lanius ludovicianus pop. 1	pie-grièche migratrice, sous-espèce de l'Est	Menacée
Oiseaux	30097	Loxia curvirostra percna	bec-croisé des sapins percna	Candidate
Oiseaux	278	Melanerpes erythrocephalus	pic à tête rouge	Menacée
Oiseaux	395	Parkesia motacilla	paruline hochequeue	Susceptible
Oiseaux	27	Podiceps auritus	grèbe esclavon	Menacée
Oiseaux	304	Progne subis	hirondelle noire	Candidate
Oiseaux	307	Riparia riparia	hirondelle de rivage	Candidate
Oiseaux	388	Setophaga cerulea	paruline azurée	Menacée
Oiseaux	235	Sterna dougallii	sterne de Dougall	Menacée
Oiseaux	443	Sturnella magna	sturnelle des prés	Candidate
Oiseaux	30089	Tyto alba pop. 2	effraie des clochers, pop. de l'Est	Susceptible
Oiseaux	365	Vermivora chrysoptera	paruline à ailes dorées	Menacée
Poissons	515	Acipenser fulvescens	esturgeon jaune	Susceptible
Poissons	516	Acipenser oxyrinchus	esturgeon noir	Susceptible
Poissons	522	Alosa sapidissima	alose savoureuse	Vulnérable
Poissons	596	Ameiurus natalis	barbotte jaune	Susceptible
Poissons	638	Ammocrypta pellucida	dard de sable	Menacée
Poissons	679	Anarhichas denticulatus	loup à tête large	Susceptible
Poissons	680	Anarhichas lupus	loup atlantique	Susceptible
Poissons	681	Anarhichas minor	loup tacheté	Susceptible
Poissons	519	Anguilla rostrata	anguille d'Amérique	Susceptible
Poissons	602	Brosme brosme	brosme	Susceptible
Poissons	529	Coregonus artedi pop. 1	cisco de printemps	Menacée
Poissons	551	Esox americanus vermiculatus	brochet vermiculé	Vulnérable
Poissons	554	Esox niger	brochet maillé	Susceptible
Poissons	639	Etheostoma caeruleum	dard arc-en-ciel	Susceptible
Poissons	14065	Gadus morhua pop. 4	morue franche, pop. nord-laurentienne	Susceptible
Poissons	14066	Gadus morhua pop. 7	morue franche, pop. sud-laurentienne	Susceptible
Poissons	560	Hybognathus hankinsoni	méné laiton	Susceptible
Poissons	468	Ichthyomyzon fossor	lamproie du Nord	Menacée
Poissons	705	Lamna nasus	maraîche	Susceptible
Poissons	634	Lepomis peltastes	crapet du Nord	Susceptible
Poissons	30285	Leucoraja ocellata pop. 5	raie tachetée, pop. du golfe du Saint-Laurent	Menacée
Poissons	587	Moxostoma carinatum	chevalier de rivière	Vulnérable
Poissons	588	Moxostoma hubbsi	chevalier cuivré	Menacée
Poissons	479	Myoxocephalus quadricornis	chaboisseau à quatre cornes	Susceptible
Poissons	480	Myoxocephalus thompsonii	chabot de profondeur	Menacée
Poissons	565	Notropis bifrenatus	méné d'herbe	Vulnérable
Poissons	569	Notropis rubellus	méné à tête rose	Susceptible
Poissons	592	Noturus flavus	chat-fou des rapides	Vulnérable
Poissons	594	Noturus insignis	chat-fou liséré	Susceptible
Poissons	13990	Osmerus mordax pop. 1	éperlan arc-en-ciel, pop. du sud de l'estuaire du Saint-Laurent	Vulnérable
Poissons	646	Percina copelandi	fouille-roche gris	Vulnérable
Poissons	706	Prionace glauca	requin bleu	Susceptible
Poissons	14059	Salvelinus alpinus oquassa	omble chevalier oquassa	Vulnérable
Reptiles	839	Apalone spinifera	tortue-molle à épines	Menacée
Reptiles	829	Chelydra serpentina	tortue serpentine	Candidate
Reptiles	832	Clemmys guttata	tortue ponctuée	Susceptible
Reptiles	830	Dermochelys coriacea	tortue luth	Menacée
Reptiles	15241	Diadophis punctatus edwardsii	couleuvre à collier du Nord	Susceptible
Reptiles	834	Emydoidea blandingii	tortue mouchetée	Menacée
Reptiles	833	Glyptemys insculpta	tortue des bois	Vulnérable
Reptiles	835	Graptemys geographica	tortue géographique	Vulnérable
Reptiles	843	Lampropeltis triangulum	couleuvre tachetée	Vulnérable
Reptiles	30035	Nerodia sipedon sipedon	couleuvre d'eau du Nord	Vulnérable
Reptiles	848	Opheodrys vernalis	couleuvre verte	Susceptible
Reptiles	838	Sternotherus odoratus	tortue musquée	Menacée
Reptiles	845	Storeria dekayi	couleuvre brune	Menacée
Reptiles	30036	Thamnophis saurita septentrionalis	couleuvre mince du Nord	Susceptible
Mammifères		A déterminer	chauve-souris (non identifiée)	non
Amphibiens		A déterminer	salamandre (non identifiée)	non
Reptiles		A déterminer	couleuvre (non identifiée)	non
Reptiles		A déterminer	tortue (non identifié)	non
Oiseaux		A déterminer	oiseau (non identifié)	non
Mammifères		Mustela erminea	Hermine	non
Oiseaux		Butorides virescens	Héron vert	non
Embryophytes		Iris versicolor	Iris versicolor	non
Mammifères		Canis latrans	Coyote	non
Oiseaux		Megaceryle alcyon	Martin pêcheur 	non
Insectes		Danaus plexippus	Papillon monarque	non
Oiseaux		Setophaga coronata	Paruline à croupion jaune	non
Oiseaux		Otus asio	Petit duc maculé	non
Oiseaux		Aegolius acadicus	Petite nyctale	non
Oiseaux		Haliaeetus leucocephalus	Pyguarge à tête blanche	non
Mammifères		Procyon lotor	Raton-laveur	non
Mammifères		vulpes fulva	Renard roux	non
Oiseaux		Regulus calendula	Roitelet à couronne rubis	non
Amphibiens		Ambystoma laterale	Salamandre à points bleues	non
Amphibiens		Plethodon cinereus	Salamandre cendrée	non
Amphibiens		Notophthalmus viridescens	Triton vert	non
Mammifères		Mustela vison	Vison d'Amérique	non
Oiseaux		Nycticorax nycticorax	Bihoreau gris	non
Oiseaux		Circus hudsonius	Busard des marais	non
Oiseaux		Aix sponsa	Canard branchu	non
Mammifères		Eptesicus fuscus	Chauve-souris brune (grande)	non
Insectes		Danaus plexippus	Chenille de monarque	non
Oiseaux		Surnia ulula	Chouette épervière	non
Oiseaux		Strix varia	Chouette rayée	non
Oiseaux		Archilochus colubris	Colibri à gorge rubis	non
Reptiles		Storeria occipitomaculata	Couleuvre à ventre rouge	non
Oiseaux		Falco sparverius	Crécerelle d'Amérique	non
Oiseaux		Accipiter cooperii	Épervier de Cooper	non
Oiseaux		Bubo virginianus	Grand duc d'Amérique	non
Amphibiens		Rana sylvatica	Grenouille des bois	non
Autre		Autre	Autre	non
Embryophytes		Alliaria petiolata	Alliaire officinale	Espèce floristique exotique envahissante
Embryophytes		Trapa natans	Châtaigne d’eau	Espèce floristique exotique envahissante
Embryophytes		Acer platanoides	Érable de Norvège	Espèce floristique exotique envahissante
Embryophytes		Myriophyllum spicatum	Myriophylle à épis	Espèce floristique exotique envahissante
Embryophytes		Frangula alnus	Nerprun bourdaine	Espèce floristique exotique envahissante
Embryophytes		Rhamnus cathartica	Nerprun cathartique	Espèce floristique exotique envahissante
Embryophytes		Reynoutria ×bohemica	Renouée de Bohème	Espèce floristique exotique envahissante
Embryophytes		Reynoutria sachalinensis	Renouée de Sakhaline	Espèce floristique exotique envahissante
Embryophytes		Reynoutria japonica	Renouée du Japon	Espèce floristique exotique envahissante
Embryophytes		Phragmites australis subsp. australis	Roseau commun	Espèce floristique exotique envahissante
Embryophytes		Stratiotes aloides	Stratiote faux-aloès	Espèce floristique exotique envahissante
Embryophytes		Phalaris arundinacea	Alpiste roseau	Espèce floristique exotique envahissante
Embryophytes		Heracleum mantegazzianum	Berce du Caucase	Espèce floristique exotique envahissante
Embryophytes		Cabomba caroliniana	Cabomba de Caroline	Espèce floristique exotique envahissante
Embryophytes		Celastrus orbiculatus	Célastre asiatique	Espèce floristique exotique envahissante
Embryophytes		Lonicera maackii	Chèvrefeuille de Maack	Espèce floristique exotique envahissante
Embryophytes		Vincetoxicum rossicum	Dompte-venin de Russie	Espèce floristique exotique envahissante
Embryophytes		Vincetoxicum nigrum	Dompte-venin noir	Espèce floristique exotique envahissante
Embryophytes		Aegopodium podagraria	Égopode podagraire	Espèce floristique exotique envahissante
Embryophytes		Egeria densa	Élodée dense	Espèce floristique exotique envahissante
Embryophytes		Berberis thunbergii	Épine-vinette du Japon	Espèce floristique exotique envahissante
Embryophytes		Petasites hybridus	Grand pétasite	Espèce floristique exotique envahissante
Embryophytes		Hydrilla verticillata	Hydrille verticillée	Espèce floristique exotique envahissante
Embryophytes		Hydrocharis morsus-ranae	Hydrocharide grenouillette	Espèce floristique exotique envahissante
Embryophytes		Impatiens glandulifera	Impatiente glanduleuse	Espèce floristique exotique envahissante
Embryophytes		Microstegium vimineum	Microstégie en osier	Espèce floristique exotique envahissante
Embryophytes		Myriophyllum aquaticum	Myriophylle aquatique	Espèce floristique exotique envahissante
Charophyte		Nitellopsis obtusa	Nitelle étoilée	Espèce floristique exotique envahissante
Embryophytes		Elaeagnus umbellata	Oléastre à ombelles	Espèce floristique exotique envahissante
Embryophytes		Petasites japonicus	Pétasite du Japon	Espèce floristique exotique envahissante
Embryophytes		Najas minor	Petite naïade	Espèce floristique exotique envahissante
Embryophytes		Potamogeton crispus	Potamot crépu	Espèce floristique exotique envahissante
Embryophytes		Ficaria verna	Renoncule ficaire	Espèce floristique exotique envahissante
